source,postId,title,company,bg,product,category,country,province,city,jobType,workYears,lastUpdateTime,responsibility,requirement,skills,sourceUrl,fetchedAt
Tencent Careers,2034117546277498880,AI原生产品经理,Tencent,CSIG,腾讯云,产品,China,,深圳,full_time,三年以上工作经验,2026年06月18日,1.产品规划与目标定义：深入理解销售、运营、客服等内部业务流程与痛点，规划AI Agent产品的核心场景、能力矩阵与演进路线，并设定可量化的效率提升与增收目标； 2.智能体体验与流程设计：主导Agent的交互逻辑、决策流程与工具调用设计。将复杂的业务规则与AI能力，转化为简单、高效、可靠的产品功能与用户体验； 3.系统整合与自动化闭环：设计并推动AI Agent与现有业务系统（如经营系统、知识库等）的深度集成方案，实现从“感知-决策-执行-反馈”的业务自动化闭环； 4.数据驱动与效果评估：建立AI Agent产品的核心指标体系，监控使用效果、准确率与业务影响，通过数据分析驱动产品的持续迭代与优化； 5.全链路项目推动：协同算法、工程、业务与设计团队，主导产品从需求、开发、测试到上线运营的全过程，确保产品高质量落地并产生实际业务价值。,1.业务洞察力：具备To B或云计算产品经验，深刻理解销售赋能、运营提效、客户成功等至少一个领域的业务流程、关键瓶颈与成功要素； 2.AI产品思维：具备强烈的AI原生产品思维，能够运用大模型与智能体技术重构传统业务流程。善于在不确定性中定义最小可行产品，并具备出色的数据驱动决策能力； 3.技术理解力：了解大语言模型、智能体框架、RAG、工具调用等核心AI技术的基本原理、能力边界与最新进展，能与技术团队进行高效沟通； 4.协调与落地能力：拥有出色的跨部门沟通与资源协调能力，具备强烈的项目owner意识，能有效管理优先级、化解冲突、推动复杂项目落地； 5.强烈的自驱力与好奇心：对AI技术充满热情，能快速学习并应用新的AI工具与框架，积极探索AI赋能业务的新场景。,LLM|RAG|Testing|Product|Marketing|Design,http://careers.tencent.com/jobdesc.html?postId=2034117546277498880,2026-07-20T14:33:38+08:00
Tencent Careers,2044972210678038528,TDSQL计算引擎研发工程师(北京/上海/深圳),Tencent,TEG,TDSQL PG,技术,China,,北京,full_time,三年以上工作经验,2026年04月24日,1.负责TDSQL计算引擎的核心开发，专注于SQL逻辑/物理优化、分布式/并行执行框架的设计与优化，打造高性能、低延迟的SQL处理能力； 2.研发高效执行算子（如TableScan、HashJoin、Aggregation、Sort），实现向量化执行、Volcano并行执行框架； 3.设计分布式执行计划，实现数据重分布（Shuffling）、Exchange算子、动态分区裁剪； 4.熟悉火焰图、eBPF、微基准测试等手段，定位并消除CPU热点、程序内存问题等。,1.本科及以上学历，5年以上查询引擎核心设计经验； 2.具备扎实的算法与数据结构功底，熟悉编译原理基础； 3.精通C++，深入理解内存管理、并发模型； 4.有MySQL、DuckDB内核开发经验优先。,C++|SQL|Microservices|Testing|Design,http://careers.tencent.com/jobdesc.html?postId=2044972210678038528,2026-07-20T14:33:38+08:00
Tencent Careers,1984171555621593088,腾讯战略发展部-高级商业分析经理-广告产品方向,Tencent,CDG,公共,战略与投资,China,,上海,full_time,五年以上工作经验,2026年06月29日,1.能够深刻洞察广告产品与推荐算法能力发展变迁过程与节奏，识别产品与技术应用机会点，跟踪竞品发展态势和能力动向，为公司高层及产品&技术团队提供洞察分析、制定各类产品策略&技术应用策略； 2.与产品&技术团队紧密合作，以专业顾问和合作伙伴的角色，制定方案，探索业务增量价值；提供内外全局视角，拉动跨公司，跨团队协同，拉动资源，保证项目落地效果。,1.对互联网广告领域产品&技术能力有深刻理解，对广告产品、搜广推算法、AI与大模型等领域有足够的热情，愿意在相关技术应用实践及商业价值创造中投入； 2.有较强的分析与落地推动能力，能够独立完成特定产品、算法、AI相关领域的市场洞察、数据研判、需求分析与机会识别等分析工作，并能与高级管理团队高效对接，推进困难事项； 3.5年以上工作经验，具备互联网广告行业链条专业知识，曾在互联网公司担任商业化产品和算法团队的商业分析、策略运营或产品经理、算法工程师相关的角色者优先；具有相关理工类专业学历背景优先（计算机、数据科学、软/硬件工程、电子、数学、物理等专业优先）。,LLM|Product|Marketing,http://careers.tencent.com/jobdesc.html?postId=1984171555621593088,2026-07-20T14:33:38+08:00
Tencent Careers,2045081730611838976,《洛克王国：世界》-数据分析,Tencent,IEG,NRC-手游APP,产品,China,,深圳,full_time,五年以上工作经验,2026年06月24日,1.数据分析体系建设：​ 负责搭建与维护游戏数据分析体系，包括数据埋点规划、报表系统设计及高效的数据提取与共享机制； 2.核心业务分析与洞察：​ 深入分析用户行为、游戏玩法、商业化活动及运营数据，通过数据挖掘、用户分层与A/B测试等方法，评估效果、定位问题，为产品调优、留存提升和营收增长提供数据驱动的解决方案与策略建议； 3.用户研究与模型应用：​ 开展深入的玩家研究，构建用户画像与生命周期模型；参与搭建与运用数据模型（如流失预警、付费潜力评估），洞察增长机会与潜在风险； 4.战略支持与协同落地：​ 统筹输出周期性战略分析报告与可视化材料，精准传达业务洞察。紧密协同运营、研发、市场等部门，推动分析结论转化为可执行的优化方案，并跟踪落地效果。,1.经验与热情：​ 热爱游戏，具备数据分析、游戏运营或相关领域经验者优先； 2.专业技能：​ 数据敏感性强，熟练掌握SQL、Python等数据分析工具及Excel、主流BI工具，具备优秀的数据处理和可视化能力； 3.综合能力：​ 拥有出色的结构化思维、逻辑分析能力和跨团队沟通协调能力，能高效管理多线任务并推动闭环； 4.个人素质：​ 自驱力与责任感强，具备优秀的抗压能力、执行力与报告呈现（如PPT）能力，能在快节奏环境中保持高效输出。,Python|SQL|Testing|Product|Marketing|Design|Excel,http://careers.tencent.com/jobdesc.html?postId=2045081730611838976,2026-07-20T14:33:38+08:00
Tencent Careers,2044246233480069120,QQ-#后台AI应用开发工程师#,Tencent,PCG,QQ,技术,China,,深圳,full_time,三年以上工作经验,2026年05月28日,1.负责QQ后台AI相关功能模块的设计与开发，包括但不限于Agent基础架构、聊天机器人、内容理解等场景； 2.与产品经理、算法团队紧密协作，将AI技术落地到QQ业务场景中，提升用户体验和运营效率； 3.参与后台系统架构设计，优化现有AI服务性能，确保高并发、低延迟的服务能力； 4.持续跟踪AI领域前沿技术，探索新技术在QQ场景中的创新应用； 5.编写高质量代码，参与代码评审，确保系统的可维护性和稳定性。,1.计算机相关专业本科及以上学历，3年以上后台开发经验，有AI应用开发经验优先； 2.熟练掌握C++/Java/Go等至少一种后端开发语言，熟悉常用数据结构和算法； 3.熟悉分布式系统、微服务架构，有高并发、大规模服务开发经验； 4.具备扎实的计算机基础，熟悉网络协议、数据库（MySQL/Redis等）及缓存技术； 5.良好的逻辑思维能力和问题解决能力，能独立分析和解决复杂技术问题； 6.优秀的沟通协作能力，能跨团队高效推动项目进展； 7.对AI技术有热情，愿意探索AI与社交产品的结合点。,Java|Go|C++|SQL|Redis|Microservices|Product|Marketing|Design,http://careers.tencent.com/jobdesc.html?postId=2044246233480069120,2026-07-20T14:33:38+08:00
Tencent Careers,2061001584745299968,AI协作工具产品客户端研发高级工程师岗位,Tencent,CSIG,腾讯文档B端,技术,China,,深圳,full_time,三年以上工作经验,2026年07月02日,1.负责AI协作工具产品跨平台核心产品功能的全链路研发与迭代，保障 Web 端、桌面客户端（Windows/Mac）及移动端（iOS/Android）的功能一致性与极致用户体验； 2.参与大前端跨平台技术架构（如 Electron、Flutter、C++跨平台底层业务库等）的设计、开发与维护，沉淀通用组件与多端复用逻辑，提升整体研发效能； 3.负责AI协作工具产品多端产品的性能优化，攻克海量文件列表渲染、复杂交互卡顿、冷启动速度、内存占用及弱网环境下的传输瓶颈； 4.深入操作系统底层，解决文件同步、离线存储、本地缓存、多端状态同步及跨端通信等核心场景下的兼容性与技术难题； 5.协同产品、设计及后端团队，深度参与需求评审与技术方案设计，推动高质量的端到端技术交付与问题闭环； 6.跟踪大前端及前沿技术（如 WebGPU、WebAssembly、端侧 AI Agent 技能集成等），探索其在网盘高要求业务场景下的技术原型与落地可能。,1.本科及以上学历，计算机或软件工程相关专业，3-5年互联网研发经验，有网盘、云存储、大型协作办公软件或复杂工具类产品经验者优先； 2.扎实的前端基础，精通 HTML5/CSS3/JavaScript/TypeScript，熟练掌握 React 或 Vue 及其生态，具备优秀的工程化与前端架构能力； 3.具备桌面端（Windows/Mac）或移动端（iOS/Android）至少一到两个平台的实际开发经验； 4.熟悉 C/C++、Objective-C、Swift 或 Java/Kotlin 至少一门语言； 5.有 Chromium 架构、Electron、CEF 或 Flutter 等跨平台框架的实际项目落地及踩坑经验； 6.深入理解计算机体系结构、操作系统运行原理与网络协议（HTTP/TCP/UDP），精通多线程/多进程编程与内存管理； 7.具备体系化的性能调优思路，有实际解决 UI 渲染掉帧、内存泄漏、包体积缩减等疑难杂症的成功经验； 8.自驱力强，具备良好的逻辑思维与跨团队沟通协作能力，能独立承担具备挑战性的技术攻坚任务，有强烈的主人翁意识。,Java|C++|JavaScript|React|Vue|Redis|Product|Design|Android|iOS,http://careers.tencent.com/jobdesc.html?postId=2061001584745299968,2026-07-20T14:33:38+08:00
Tencent Careers,2036363308466073600,海外数据中心运营经理,Tencent,TEG,IDC运维,技术,China,,深圳,full_time,五年以上工作经验,2026年06月22日,1.按照公司战略和部门规划，从事海外数据中心的属地化IDC运营管理，支持选址和项目管理，保障数据中心安全稳定，通过标准化和线上化提升运营效率和运营质量； 2.负责海外数据中心基础设施运营管理和全生命周期管理，开展变更维护及应急演练，建立运维规范，开展基础设施巡检和审计，持续提升可靠性； 3.负责海外数据心IT运营管理，包括IT运维、裁撒、资产营理等，建立和优化IT运营流程和标准体系，支持业务完成各类合规认证及客户审计； 4.负责海外数据中心运营商管理，搭建高效、密切的合作关系，保障数据中心的安全、可靠运行； 5.负责海外数据中心现场IT运维外包商及外包团队的管理及考核； 6.负责海外区域IDC生态建设。,1.本科及以上学历，拥有5年及以上数据中心基础设施运营工作经验，有海外数据中心或跨区域运营经验优先； 2.具备较好的中、英文听说读写能力，能作为工作语言与海外团队及供应商高效协作； 3.熟悉海外IDC主流基础设施架构（电力、制冷等）和数据中心运维体系和运营商运作模式，具备CDCP认证、熟悉海外IDC生态资源者优先； 4.熟悉主流服务器、网络设备及基础IT架构，了解数据中心IT运维流程及网络互联模式，有资产管理或大规模运维经验优先； 5.具备一定的运营服务管理能力，了解主流IT管理框架，拥有ITIL认证者优先； 6.具有较强的沟通能力，项目管理能力，综合协调能力以及海外IDC项目管理实践，具备PMP认证者优先； 7.性格沉稳细心；有强烈的责任心，较强的学习能力；良好的团队荣誉感及团队合作精神； 8.可接受因运营管理和项目管理需要产生的不定期海外差旅，须具备较强的抗压能力和自我调节能力。,Security|Marketing,http://careers.tencent.com/jobdesc.html?postId=2036363308466073600,2026-07-20T14:33:38+08:00
Tencent Careers,2044968720287297536,QQ-高级算法工程师,Tencent,PCG,QQ,技术,China,,深圳,full_time,三年以上工作经验,2026年04月24日,1.AI Agent 算法研究方向：探索工具调用、模型规划、长记忆、意图识别等核心能力；研究多 Agent 协同机制，推动 Agent 在实际业务中的落地； 2.多模态大模型研究与优化方向：主导多模态/全模态大语言模型的预训练、对齐与推理优化；推动图像、视频、文本等多模态理解与生成能力的持续演进； 3.多模态内容理解与治理方向：构建面向复杂场景的多模态内容理解能力；建设生态内容治理算法体系，支撑业务侧的理解、分析与交互需求； 4.图像/视频编辑与生成落地方向：研究并落地图像编辑、视频生成与编辑等 AIGC 能力。,1.计算机科学、人工智能、电子工程等相关专业硕士及以上学历； 2.Agent、多模态模型、计算机视觉或自然语言处理相关研发经验； 3.扎实的深度学习基础，深刻理解 Transformer、Diffusion Model、Autoregressive 等主流架构； 4.具备大规模分布式模型训练实战经验，熟悉 DeepSpeed、FSDP、Megatron 等训练框架； 5.熟练掌握 Python、PyTorch，具备良好的工程落地能力； 6.保持对前沿技术的好奇心与敏锐度，具备较强的自驱力与跨团队协作能力。,Python|Microservices|Machine Learning|Deep Learning|NLP|LLM|Design,http://careers.tencent.com/jobdesc.html?postId=2044968720287297536,2026-07-20T14:33:38+08:00
Tencent Careers,2044972213014261760,云数据库管控调度研发工程师(北京/深圳),Tencent,TEG,TDSQL PG,技术,China,,深圳,full_time,三年以上工作经验,2026年04月24日,1.参与云原生数据库资源调度系统的架构设计与核心模块研发，方向涵盖调度策略、弹性伸缩、装箱优化等； 2.负责海量元数据管理系统的设计与优化，解决超大规模集群下的性能、一致性与高可用挑战； 3.设计并落地混合负载场景下的资源隔离与 QoS 控制方案，保障多租户场景的服务稳定性； 4.基于业务负载特征构建资源预测模型，推动弹性调度与容量管理的智能化演进； 5.参与多模态集群统一管控平面的建设，提升整体运维效率与可观测性； 6.探索 AI/ML 技术在调度优化、异常识别、根因分析等场景的工程化落地。,1.3 年以上分布式系统、云原生基础设施或数据库内核研发经验； 2.深入理解分布式调度系统原理，有 Kubernetes 调度器、云数据库管控系统或大规模资源管理平台（如 Yarn、Mesos）的开发经验； 3.有元数据管理、分布式 KV 存储（如 etcd、TiKV）或 Catalog 系统的设计与开发经验； 4.熟悉负载预测、容量规划或在线资源优化相关方向，有实际工程落地经验； 5.对分布式系统有深入理解，熟悉 Raft / Paxos 协议及一致性模型，具备扎实的系统编程能力（C++ / Go / Rust）； 6.有机器学习或强化学习在系统调度、资源管理场景应用经验者优先；有 OSDI / SOSP / VLDB / SIGMOD 等顶会论文发表，或知名开源项目 Contributor 经验者优先。,Go|C++|SQL|Kubernetes|Microservices|Machine Learning|Design,http://careers.tencent.com/jobdesc.html?postId=2044972213014261760,2026-07-20T14:33:38+08:00
Tencent Careers,1991009056084615168,PUBG Mobile-游戏后台开发工程师(UGC方向)-新星引力计划,Tencent,IEG,PUBG Mobile-全球不分明细,技术,China,,深圳,full_time,一年以上工作经验,2026年06月27日,1.负责PUBGM项目UGC平台的后台架构设计和功能开发； 2.负责海量用户全球同服的游戏后台开发运维攻坚； 3.参与AIGC、推荐算法到UGC游戏项目中的运用落地； 4.与团队成员充分沟通，紧密合作，确保项目顺利推进。,1.计算机相关专业本科及以上学历，具备扎实的编程基础； 2.精通C/C++、Lua语言，具备良好的编程习惯； 3.熟练掌握数据结构、数据库、高并发等后台技能项，具备良好的问题解决能力； 4.具备良好的沟通协作能力，能够承受一定的工作压力。,C++|SQL|LLM|Design,http://careers.tencent.com/jobdesc.html?postId=1991009056084615168,2026-07-20T14:33:38+08:00
Tencent Careers,2034117544100655104,大语言模型应用工程师（Agent方向）,Tencent,CSIG,腾讯云,技术,China,,深圳,full_time,三年以上工作经验,2026年06月16日,1.围绕研发可用性/开发环境治理/AIOps等方向进行Agent原生开发平台设计工作，推动AI技术在相关场景的落地与突破； 2.构建并维护团队内部知识库，集成技术方案、产品文档、运维手册等专业知识，赋能垂直领域智能体； 3.将大模型能力与内部工具链、API接口相结合，封装为可复用的智能工具与组件，逐步构建团队AI能力中台，提升整体研发与运营效率。,1.计算机科学、人工智能、软件工程或相关专业本科及以上学历； 2.具备一年及以上大语言模型应用开发经验，有实际的AI Agent或RAG项目实践经验； 3.掌握AI Agent开发、RAG优化、MCP、OpenClaw及工具开发等技术原理及落地经验，熟悉从数据处理、向量化到智能生成的全流程； 4.对AI技术驱动业务提效有强烈热情，拥有优秀的自主学习能力、逻辑思维与跨团队沟通协作能力。,LLM|RAG|Product|Marketing|Design,http://careers.tencent.com/jobdesc.html?postId=2034117544100655104,2026-07-20T14:33:38+08:00
