period,role_id,role,skill,dimension,demand,source_count
2025-09,ai-algorithm-engineer,AI 算法工程师,Machine Learning,人工智能,3,1
2025-09,ai-algorithm-engineer,AI 算法工程师,Design,设计体验,3,1
2025-09,ai-algorithm-engineer,AI 算法工程师,NLP,人工智能,2,1
2025-09,ai-algorithm-engineer,AI 算法工程师,Excel,办公分析,2,1
2025-09,ai-algorithm-engineer,AI 算法工程师,AIGC,其他能力,2,1
2025-09,ai-algorithm-engineer,AI 算法工程师,LLM,人工智能,2,1
2025-09,ai-algorithm-engineer,AI 算法工程师,Testing,质量保障,1,1
2025-09,ai-algorithm-engineer,AI 算法工程师,Python,编程语言,1,1
2025-09,ai-algorithm-engineer,AI 算法工程师,SQL,数据技术,1,1
2025-09,ai-algorithm-engineer,AI 算法工程师,Product,产品运营,1,1
2025-09,ai-algorithm-engineer,AI 算法工程师,Marketing,产品运营,1,1
2025-09,role-business-development-manager,Business Development Manager,Go,编程语言,1,1
2025-09,role-business-development-manager,Business Development Manager,RAG,人工智能,1,1
2025-09,role-business-development-manager,Business Development Manager,Design,设计体验,1,1
2025-09,role-business-strategy-analysis-manager,Business Strategy & Analysis Manager,Go,编程语言,1,1
2025-09,role-business-strategy-analysis-manager,Business Strategy & Analysis Manager,Design,设计体验,1,1
2025-09,role-business-strategy-analysis-manager,Business Strategy & Analysis Manager,Excel,办公分析,1,1
2025-09,role-hr-intern-105155,HR Intern 105155,Go,编程语言,1,1
2025-09,role-hr-intern-105155,HR Intern 105155,Design,设计体验,1,1
2025-09,java-backend-engineer,Java 后端工程师,Python,编程语言,2,1
2025-09,java-backend-engineer,Java 后端工程师,Go,编程语言,2,1
2025-09,java-backend-engineer,Java 后端工程师,Design,设计体验,2,1
2025-09,java-backend-engineer,Java 后端工程师,C++,编程语言,1,1
2025-09,java-backend-engineer,Java 后端工程师,Docker,云原生,1,1
2025-09,java-backend-engineer,Java 后端工程师,Kubernetes,云原生,1,1
2025-09,java-backend-engineer,Java 后端工程师,Linux,基础设施,1,1
2025-09,java-backend-engineer,Java 后端工程师,DevOps,工程效能,1,1
2025-09,java-backend-engineer,Java 后端工程师,RAG,人工智能,1,1
2025-09,java-backend-engineer,Java 后端工程师,JavaScript,编程语言,1,1
2025-09,java-backend-engineer,Java 后端工程师,Vue,前端开发,1,1
2025-09,java-backend-engineer,Java 后端工程师,Microservices,系统架构,1,1
2025-09,java-backend-engineer,Java 后端工程师,Java,编程语言,1,1
2025-09,java-backend-engineer,Java 后端工程师,SQL,数据技术,1,1
2025-09,java-backend-engineer,Java 后端工程师,Kafka,中间件,1,1
2025-09,java-backend-engineer,Java 后端工程师,大数据,其他能力,1,1
2025-09,java-backend-engineer,Java 后端工程师,数据仓库,其他能力,1,1
2025-09,java-backend-engineer,Java 后端工程师,Big Data,数据工程,1,1
2025-09,java-backend-engineer,Java 后端工程师,Data Warehouse,数据工程,1,1
2025-09,role-people-operations-associate-106179,People Operations Associate 106179,Go,编程语言,1,1
2025-09,role-people-operations-associate-106179,People Operations Associate 106179,Design,设计体验,1,1
2025-09,role-people-operations-associate-106179,People Operations Associate 106179,Excel,办公分析,1,1
2025-09,role-sr-it-operation-engineer,Sr. IT Operation Engineer,Go,编程语言,1,1
2025-09,role-sr-it-operation-engineer,Sr. IT Operation Engineer,Design,设计体验,1,1
2025-09,role-sr-it-operation-engineer,Sr. IT Operation Engineer,Excel,办公分析,1,1
2025-09,product-manager,产品经理,Go,编程语言,6,1
2025-09,product-manager,产品经理,Product,产品运营,6,1
2025-09,product-manager,产品经理,Design,设计体验,5,1
2025-09,product-manager,产品经理,Testing,质量保障,2,1
2025-09,product-manager,产品经理,C++,编程语言,1,1
2025-09,product-manager,产品经理,RAG,人工智能,1,1
2025-09,product-manager,产品经理,Excel,办公分析,1,1
2025-09,testing-engineer,测试工程师,Go,编程语言,1,1
2025-09,testing-engineer,测试工程师,测试,其他能力,1,1
2025-09,testing-engineer,测试工程师,Testing,质量保障,1,1
2025-09,testing-engineer,测试工程师,Product,产品运营,1,1
2025-09,testing-engineer,测试工程师,Marketing,产品运营,1,1
2025-09,testing-engineer,测试工程师,Design,设计体验,1,1
2025-09,designer,设计师,Go,编程语言,6,1
2025-09,designer,设计师,Design,设计体验,6,1
2025-09,designer,设计师,RAG,人工智能,2,1
2025-09,designer,设计师,Python,编程语言,1,1
2025-09,designer,设计师,Product,产品运营,1,1
2025-09,designer,设计师,Excel,办公分析,1,1
2025-09,operations-specialist,运营,Go,编程语言,2,1
2025-09,operations-specialist,运营,Product,产品运营,2,1
2025-09,operations-specialist,运营,Marketing,产品运营,2,1
2025-09,operations-specialist,运营,Design,设计体验,2,1
2025-10,ai-algorithm-engineer,AI 算法工程师,Python,编程语言,1,1
2025-10,ai-algorithm-engineer,AI 算法工程师,Go,编程语言,1,1
2025-10,ai-algorithm-engineer,AI 算法工程师,SQL,数据技术,1,1
2025-10,ai-algorithm-engineer,AI 算法工程师,机器学习,其他能力,1,1
2025-10,ai-algorithm-engineer,AI 算法工程师,RAG,人工智能,1,1
2025-10,ai-algorithm-engineer,AI 算法工程师,物联网,其他能力,1,1
2025-10,ai-algorithm-engineer,AI 算法工程师,Machine Learning,人工智能,1,1
2025-10,ai-algorithm-engineer,AI 算法工程师,Marketing,产品运营,1,1
2025-10,ai-algorithm-engineer,AI 算法工程师,Design,设计体验,1,1
2025-10,java-backend-engineer,Java 后端工程师,Python,编程语言,1,1
2025-10,java-backend-engineer,Java 后端工程师,Go,编程语言,1,1
2025-10,java-backend-engineer,Java 后端工程师,C++,编程语言,1,1
2025-10,java-backend-engineer,Java 后端工程师,JavaScript,编程语言,1,1
2025-10,java-backend-engineer,Java 后端工程师,Product,产品运营,1,1
2025-10,java-backend-engineer,Java 后端工程师,Design,设计体验,1,1
2025-10,role-level-infinite-海外游戏战略经理,Level Infinite -海外游戏战略经理,Go,编程语言,1,1
2025-10,role-level-infinite-海外游戏战略经理,Level Infinite -海外游戏战略经理,RAG,人工智能,1,1
2025-10,role-level-infinite-海外游戏战略经理,Level Infinite -海外游戏战略经理,Product,产品运营,1,1
2025-10,product-manager,产品经理,Go,编程语言,3,1
2025-10,product-manager,产品经理,Product,产品运营,3,1
2025-10,product-manager,产品经理,Design,设计体验,2,1
2025-10,security-engineer,安全工程师,Go,编程语言,1,1
2025-10,security-engineer,安全工程师,Security,安全合规,1,1
2025-10,security-engineer,安全工程师,Product,产品运营,1,1
2025-10,role-战略投资经理,战略投资经理,Product,产品运营,1,1
2025-10,operations-specialist,运营,Go,编程语言,2,1
2025-10,operations-specialist,运营,Marketing,产品运营,2,1
2025-10,operations-specialist,运营,Product,产品运营,1,1
2025-10,operations-specialist,运营,RAG,人工智能,1,1
2025-10,operations-specialist,运营,Design,设计体验,1,1
2025-10,operations-specialist,运营,Excel,办公分析,1,1
2025-11,ai-algorithm-engineer,AI 算法工程师,Python,编程语言,3,1
2025-11,ai-algorithm-engineer,AI 算法工程师,Go,编程语言,3,1
2025-11,ai-algorithm-engineer,AI 算法工程师,机器学习,其他能力,3,1
2025-11,ai-algorithm-engineer,AI 算法工程师,Machine Learning,人工智能,3,1
2025-11,ai-algorithm-engineer,AI 算法工程师,Testing,质量保障,2,1
2025-11,ai-algorithm-engineer,AI 算法工程师,微服务,其他能力,1,1
2025-11,ai-algorithm-engineer,AI 算法工程师,大数据,其他能力,1,1
2025-11,ai-algorithm-engineer,AI 算法工程师,Microservices,系统架构,1,1
2025-11,ai-algorithm-engineer,AI 算法工程师,Big Data,数据工程,1,1
2025-11,ai-algorithm-engineer,AI 算法工程师,LLM,人工智能,1,1
2025-11,ai-algorithm-engineer,AI 算法工程师,Product,产品运营,1,1
2025-11,ai-algorithm-engineer,AI 算法工程师,Marketing,产品运营,1,1
2025-11,ai-algorithm-engineer,AI 算法工程师,C++,编程语言,1,1
2025-11,ai-algorithm-engineer,AI 算法工程师,Excel,办公分析,1,1
2025-11,ai-algorithm-engineer,AI 算法工程师,Design,设计体验,1,1
2025-11,role-business-development-manager-director,Business Development Manager/Director,Go,编程语言,1,1
2025-11,role-business-development-manager-director,Business Development Manager/Director,Design,设计体验,1,1
2025-11,role-business-development-manager-director,Business Development Manager/Director,Excel,办公分析,1,1
2025-11,java-backend-engineer,Java 后端工程师,Java,编程语言,1,1
2025-11,java-backend-engineer,Java 后端工程师,Python,编程语言,1,1
2025-11,java-backend-engineer,Java 后端工程师,Go,编程语言,1,1
2025-11,java-backend-engineer,Java 后端工程师,SQL,数据技术,1,1
2025-11,java-backend-engineer,Java 后端工程师,Docker,云原生,1,1
2025-11,java-backend-engineer,Java 后端工程师,Kubernetes,云原生,1,1
2025-11,java-backend-engineer,Java 后端工程师,DevOps,工程效能,1,1
2025-11,java-backend-engineer,Java 后端工程师,RAG,人工智能,1,1
2025-11,java-backend-engineer,Java 后端工程师,JavaScript,编程语言,1,1
2025-11,java-backend-engineer,Java 后端工程师,React,前端开发,1,1
2025-11,java-backend-engineer,Java 后端工程师,Vue,前端开发,1,1
2025-11,java-backend-engineer,Java 后端工程师,Design,设计体验,1,1
2025-11,product-manager,产品经理,Go,编程语言,3,1
2025-11,product-manager,产品经理,Product,产品运营,3,1
2025-11,product-manager,产品经理,Marketing,产品运营,2,1
2025-11,product-manager,产品经理,Design,设计体验,2,1
2025-11,product-manager,产品经理,Excel,办公分析,2,1
2025-11,product-manager,产品经理,RAG,人工智能,1,1
2025-11,frontend-engineer,前端工程师,Go,编程语言,1,1
2025-11,frontend-engineer,前端工程师,Excel,办公分析,1,1
2025-11,backend-engineer,后端工程师,Python,编程语言,1,1
2025-11,backend-engineer,后端工程师,Go,编程语言,1,1
2025-11,backend-engineer,后端工程师,C++,编程语言,1,1
2025-11,backend-engineer,后端工程师,Testing,质量保障,1,1
2025-11,testing-engineer,测试工程师,Python,编程语言,1,1
2025-11,testing-engineer,测试工程师,Go,编程语言,1,1
2025-11,testing-engineer,测试工程师,SQL,数据技术,1,1
2025-11,testing-engineer,测试工程师,测试,其他能力,1,1
2025-11,testing-engineer,测试工程师,Testing,质量保障,1,1
2025-11,testing-engineer,测试工程师,Product,产品运营,1,1
2025-11,testing-engineer,测试工程师,Marketing,产品运营,1,1
2025-11,testing-engineer,测试工程师,Design,设计体验,1,1
2025-11,designer,设计师,Go,编程语言,1,1
2025-11,designer,设计师,Design,设计体验,1,1
2025-11,operations-specialist,运营,Go,编程语言,1,1
2025-11,operations-specialist,运营,SQL,数据技术,1,1
2025-11,operations-specialist,运营,Marketing,产品运营,1,1
2025-11,operations-specialist,运营,Design,设计体验,1,1
2025-12,java-backend-engineer,Java 后端工程师,Go,编程语言,2,1
2025-12,java-backend-engineer,Java 后端工程师,C++,编程语言,2,1
2025-12,java-backend-engineer,Java 后端工程师,SQL,数据技术,2,1
2025-12,java-backend-engineer,Java 后端工程师,Redis,数据存储,2,1
2025-12,java-backend-engineer,Java 后端工程师,微服务,其他能力,2,1
2025-12,java-backend-engineer,Java 后端工程师,Microservices,系统架构,2,1
2025-12,java-backend-engineer,Java 后端工程师,Design,设计体验,2,1
2025-12,java-backend-engineer,Java 后端工程师,Python,编程语言,1,1
2025-12,java-backend-engineer,Java 后端工程师,Java,编程语言,1,1
2025-12,java-backend-engineer,Java 后端工程师,Linux,基础设施,1,1
2025-12,java-backend-engineer,Java 后端工程师,Product,产品运营,1,1
2025-12,java-backend-engineer,Java 后端工程师,Marketing,产品运营,1,1
2025-12,frontend-engineer,前端工程师,Go,编程语言,1,1
2025-12,frontend-engineer,前端工程师,Vue,前端开发,1,1
2025-12,security-engineer,安全工程师,Go,编程语言,1,1
2025-12,security-engineer,安全工程师,安全,其他能力,1,1
2025-12,security-engineer,安全工程师,Security,安全合规,1,1
2025-12,designer,设计师,Python,编程语言,1,1
2025-12,designer,设计师,Go,编程语言,1,1
2025-12,designer,设计师,SQL,数据技术,1,1
2025-12,designer,设计师,Redis,数据存储,1,1
2025-12,designer,设计师,Linux,基础设施,1,1
2025-12,designer,设计师,Microservices,系统架构,1,1
2025-12,designer,设计师,Design,设计体验,1,1
2025-12,operations-specialist,运营,Go,编程语言,1,1
2025-12,operations-specialist,运营,RAG,人工智能,1,1
2025-12,operations-specialist,运营,Marketing,产品运营,1,1
2025-12,operations-specialist,运营,Design,设计体验,1,1
2025-12,operations-specialist,运营,Excel,办公分析,1,1
2026-01,ai-algorithm-engineer,AI 算法工程师,Go,编程语言,3,1
2026-01,ai-algorithm-engineer,AI 算法工程师,机器学习,其他能力,3,1
2026-01,ai-algorithm-engineer,AI 算法工程师,Machine Learning,人工智能,3,1
2026-01,ai-algorithm-engineer,AI 算法工程师,LLM,人工智能,3,1
2026-01,ai-algorithm-engineer,AI 算法工程师,NLP,人工智能,2,1
2026-01,ai-algorithm-engineer,AI 算法工程师,Excel,办公分析,2,1
2026-01,ai-algorithm-engineer,AI 算法工程师,Python,编程语言,2,1
2026-01,ai-algorithm-engineer,AI 算法工程师,AIGC,其他能力,1,1
2026-01,ai-algorithm-engineer,AI 算法工程师,Testing,质量保障,1,1
2026-01,ai-algorithm-engineer,AI 算法工程师,Design,设计体验,1,1
2026-01,role-hr-business-partner,HR Business Partner,Go,编程语言,1,1
2026-01,role-hr-business-partner,HR Business Partner,Design,设计体验,1,1
2026-01,java-backend-engineer,Java 后端工程师,Java,编程语言,3,2
2026-01,java-backend-engineer,Java 后端工程师,Go,编程语言,3,2
2026-01,java-backend-engineer,Java 后端工程师,Design,设计体验,3,2
2026-01,java-backend-engineer,Java 后端工程师,SQL,数据技术,2,2
2026-01,java-backend-engineer,Java 后端工程师,RAG,人工智能,2,1
2026-01,java-backend-engineer,Java 后端工程师,Excel,办公分析,2,1
2026-01,java-backend-engineer,Java 后端工程师,Microservices,系统架构,1,1
2026-01,java-backend-engineer,Java 后端工程师,Testing,质量保障,1,1
2026-01,java-backend-engineer,Java 后端工程师,Marketing,产品运营,1,1
2026-01,java-backend-engineer,Java 后端工程师,Big Data,数据工程,1,1
2026-01,java-backend-engineer,Java 后端工程师,Machine Learning,人工智能,1,1
2026-01,cloud-sre-engineer,云原生 SRE 工程师,Go,编程语言,1,1
2026-01,cloud-sre-engineer,云原生 SRE 工程师,DevOps,工程效能,1,1
2026-01,cloud-sre-engineer,云原生 SRE 工程师,物联网,其他能力,1,1
2026-01,cloud-sre-engineer,云原生 SRE 工程师,Design,设计体验,1,1
2026-01,product-manager,产品经理,Go,编程语言,3,1
2026-01,product-manager,产品经理,Product,产品运营,3,1
2026-01,product-manager,产品经理,Marketing,产品运营,3,1
2026-01,product-manager,产品经理,Design,设计体验,2,1
2026-01,testing-engineer,测试工程师,Go,编程语言,2,1
2026-01,testing-engineer,测试工程师,测试,其他能力,2,1
2026-01,testing-engineer,测试工程师,Testing,质量保障,2,1
2026-01,testing-engineer,测试工程师,Product,产品运营,2,1
2026-01,testing-engineer,测试工程师,Design,设计体验,2,1
2026-01,testing-engineer,测试工程师,Marketing,产品运营,1,1
2026-01,role-腾讯游戏海外发行市场经理-东南亚,腾讯游戏海外发行市场经理-东南亚,Go,编程语言,1,1
2026-01,role-腾讯游戏海外发行市场经理-东南亚,腾讯游戏海外发行市场经理-东南亚,Product,产品运营,1,1
2026-01,role-腾讯游戏海外发行市场经理-东南亚,腾讯游戏海外发行市场经理-东南亚,Design,设计体验,1,1
2026-01,operations-specialist,运营,Go,编程语言,2,1
2026-01,operations-specialist,运营,Marketing,产品运营,2,1
2026-01,operations-specialist,运营,Design,设计体验,2,1
2026-01,operations-specialist,运营,Product,产品运营,1,1
2026-02,ai-algorithm-engineer,AI 算法工程师,Python,编程语言,1,1
2026-02,ai-algorithm-engineer,AI 算法工程师,Go,编程语言,1,1
2026-02,ai-algorithm-engineer,AI 算法工程师,SQL,数据技术,1,1
2026-02,ai-algorithm-engineer,AI 算法工程师,机器学习,其他能力,1,1
2026-02,ai-algorithm-engineer,AI 算法工程师,Machine Learning,人工智能,1,1
2026-02,ai-algorithm-engineer,AI 算法工程师,Design,设计体验,1,1
2026-02,ai-algorithm-engineer,AI 算法工程师,Excel,办公分析,1,1
2026-02,role-business-system-analyst,Business System Analyst,Go,编程语言,1,1
2026-02,role-business-system-analyst,Business System Analyst,Design,设计体验,1,1
2026-02,role-business-system-analyst,Business System Analyst,Excel,办公分析,1,1
2026-02,java-backend-engineer,Java 后端工程师,Java,编程语言,1,1
2026-02,java-backend-engineer,Java 后端工程师,Go,编程语言,1,1
2026-02,java-backend-engineer,Java 后端工程师,SQL,数据技术,1,1
2026-02,java-backend-engineer,Java 后端工程师,Microservices,系统架构,1,1
2026-02,java-backend-engineer,Java 后端工程师,Design,设计体验,1,1
2026-02,role-market-manager-japan-hotels,"Market Manager, Japan - Hotels",RAG,人工智能,1,1
2026-02,role-market-manager-japan-hotels,"Market Manager, Japan - Hotels",Design,设计体验,1,1
2026-02,role-market-manager-japan-hotels,"Market Manager, Japan - Hotels",Excel,办公分析,1,1
2026-02,role-strategic-investment-manager,Strategic Investment Manager,Product,产品运营,1,1
2026-02,product-manager,产品经理,Go,编程语言,2,1
2026-02,product-manager,产品经理,Product,产品运营,2,1
2026-02,product-manager,产品经理,Design,设计体验,2,1
2026-02,product-manager,产品经理,Marketing,产品运营,1,1
2026-02,product-manager,产品经理,Excel,办公分析,1,1
2026-02,operations-specialist,运营,Go,编程语言,10,2
2026-02,operations-specialist,运营,Marketing,产品运营,10,2
2026-02,operations-specialist,运营,Design,设计体验,8,2
2026-02,operations-specialist,运营,Excel,办公分析,4,2
2026-02,operations-specialist,运营,Product,产品运营,4,1
2026-02,operations-specialist,运营,RAG,人工智能,2,2
2026-03,ai-algorithm-engineer,AI 算法工程师,Go,编程语言,6,1
2026-03,ai-algorithm-engineer,AI 算法工程师,Design,设计体验,5,1
2026-03,ai-algorithm-engineer,AI 算法工程师,Python,编程语言,4,1
2026-03,ai-algorithm-engineer,AI 算法工程师,机器学习,其他能力,4,1
2026-03,ai-algorithm-engineer,AI 算法工程师,Machine Learning,人工智能,4,1
2026-03,ai-algorithm-engineer,AI 算法工程师,LLM,人工智能,3,1
2026-03,ai-algorithm-engineer,AI 算法工程师,Marketing,产品运营,3,1
2026-03,ai-algorithm-engineer,AI 算法工程师,C++,编程语言,2,1
2026-03,ai-algorithm-engineer,AI 算法工程师,SQL,数据技术,1,1
2026-03,ai-algorithm-engineer,AI 算法工程师,Kafka,中间件,1,1
2026-03,ai-algorithm-engineer,AI 算法工程师,大数据,其他能力,1,1
2026-03,ai-algorithm-engineer,AI 算法工程师,数据仓库,其他能力,1,1
2026-03,ai-algorithm-engineer,AI 算法工程师,RAG,人工智能,1,1
2026-03,ai-algorithm-engineer,AI 算法工程师,向量检索,其他能力,1,1
2026-03,ai-algorithm-engineer,AI 算法工程师,安全,其他能力,1,1
2026-03,ai-algorithm-engineer,AI 算法工程师,Big Data,数据工程,1,1
2026-03,ai-algorithm-engineer,AI 算法工程师,Data Warehouse,数据工程,1,1
2026-03,ai-algorithm-engineer,AI 算法工程师,NLP,人工智能,1,1
2026-03,ai-algorithm-engineer,AI 算法工程师,Vector Search,人工智能,1,1
2026-03,ai-algorithm-engineer,AI 算法工程师,Security,安全合规,1,1
2026-03,ai-algorithm-engineer,AI 算法工程师,Product,产品运营,1,1
2026-03,ai-algorithm-engineer,AI 算法工程师,Excel,办公分析,1,1
2026-03,ai-algorithm-engineer,AI 算法工程师,Docker,云原生,1,1
2026-03,ai-algorithm-engineer,AI 算法工程师,Kubernetes,云原生,1,1
2026-03,ai-algorithm-engineer,AI 算法工程师,Linux,基础设施,1,1
2026-03,ai-algorithm-engineer,AI 算法工程师,DevOps,工程效能,1,1
2026-03,ai-algorithm-engineer,AI 算法工程师,Testing,质量保障,1,1
2026-03,role-engineering-manager-investigations-and-incident-response,"Engineering Manager, Investigations and Incident Response",RAG,人工智能,1,1
2026-03,role-engineering-manager-investigations-and-incident-response,"Engineering Manager, Investigations and Incident Response",Design,设计体验,1,1
2026-03,role-engineering-manager-investigations-and-incident-response,"Engineering Manager, Investigations and Incident Response",Excel,办公分析,1,1
2026-03,role-hr-business-partner,HR Business Partner,Go,编程语言,1,1
2026-03,role-hr-business-partner,HR Business Partner,Design,设计体验,1,1
2026-03,java-backend-engineer,Java 后端工程师,Java,编程语言,2,1
2026-03,java-backend-engineer,Java 后端工程师,Python,编程语言,2,1
2026-03,java-backend-engineer,Java 后端工程师,Go,编程语言,2,1
2026-03,java-backend-engineer,Java 后端工程师,大数据,其他能力,2,1
2026-03,java-backend-engineer,Java 后端工程师,RAG,人工智能,2,1
2026-03,java-backend-engineer,Java 后端工程师,Big Data,数据工程,2,1
2026-03,java-backend-engineer,Java 后端工程师,Design,设计体验,2,1
2026-03,java-backend-engineer,Java 后端工程师,SQL,数据技术,1,1
2026-03,java-backend-engineer,Java 后端工程师,Product,产品运营,1,1
2026-03,java-backend-engineer,Java 后端工程师,Excel,办公分析,1,1
2026-03,java-backend-engineer,Java 后端工程师,C++,编程语言,1,1
2026-03,java-backend-engineer,Java 后端工程师,Kafka,中间件,1,1
2026-03,java-backend-engineer,Java 后端工程师,Docker,云原生,1,1
2026-03,java-backend-engineer,Java 后端工程师,Kubernetes,云原生,1,1
2026-03,java-backend-engineer,Java 后端工程师,Linux,基础设施,1,1
2026-03,role-legal-counsel,Legal Counsel,Go,编程语言,1,1
2026-03,role-legal-counsel,Legal Counsel,Design,设计体验,1,1
2026-03,role-legal-counsel,Legal Counsel,Excel,办公分析,1,1
2026-03,role-manager-public-policy-texas,"Manager, Public Policy, Texas",Go,编程语言,1,1
2026-03,role-manager-public-policy-texas,"Manager, Public Policy, Texas",RAG,人工智能,1,1
2026-03,role-manager-public-policy-texas,"Manager, Public Policy, Texas",Design,设计体验,1,1
2026-03,role-manager-public-policy-texas,"Manager, Public Policy, Texas",Excel,办公分析,1,1
2026-03,role-specialist-premium-support,"Specialist, Premium Support",Go,编程语言,1,1
2026-03,role-specialist-premium-support,"Specialist, Premium Support",RAG,人工智能,1,1
2026-03,role-specialist-premium-support,"Specialist, Premium Support",Design,设计体验,1,1
2026-03,role-strategic-sales-executive,Strategic Sales Executive,Go,编程语言,1,1
2026-03,role-strategic-sales-executive,Strategic Sales Executive,Design,设计体验,1,1
2026-03,role-tencent-cloud-strategic-sales-executive,Tencent Cloud – Strategic Sales Executive,Go,编程语言,1,1
2026-03,role-tencent-cloud-strategic-sales-executive,Tencent Cloud – Strategic Sales Executive,Design,设计体验,1,1
2026-03,role-tencent-cloud-idc-procurement-business-manager,Tencent Cloud- IDC Procurement Business Manager,Go,编程语言,1,1
2026-03,role-tencent-cloud-idc-procurement-business-manager,Tencent Cloud- IDC Procurement Business Manager,Design,设计体验,1,1
2026-03,role-tencent-cloud-idc-procurement-business-manager,Tencent Cloud- IDC Procurement Business Manager,Excel,办公分析,1,1
2026-03,role-開発-engine-engineer,シニアゲームエンジン開発エンジニア｜ Engine Engineer,Go,编程语言,1,1
2026-03,role-開発-engine-engineer,シニアゲームエンジン開発エンジニア｜ Engine Engineer,C++,编程语言,1,1
2026-03,role-開発-engine-engineer,シニアゲームエンジン開発エンジニア｜ Engine Engineer,Testing,质量保障,1,1
2026-03,role-開発-engine-engineer,シニアゲームエンジン開発エンジニア｜ Engine Engineer,Design,设计体验,1,1
2026-03,role-開発-engine-engineer,シニアゲームエンジン開発エンジニア｜ Engine Engineer,Excel,办公分析,1,1
2026-03,cloud-sre-engineer,云原生 SRE 工程师,Go,编程语言,2,2
2026-03,cloud-sre-engineer,云原生 SRE 工程师,DevOps,工程效能,2,2
2026-03,cloud-sre-engineer,云原生 SRE 工程师,RAG,人工智能,2,2
2026-03,cloud-sre-engineer,云原生 SRE 工程师,Design,设计体验,2,2
2026-03,cloud-sre-engineer,云原生 SRE 工程师,Docker,云原生,1,1
2026-03,cloud-sre-engineer,云原生 SRE 工程师,Linux,基础设施,1,1
2026-03,cloud-sre-engineer,云原生 SRE 工程师,Product,产品运营,1,1
2026-03,cloud-sre-engineer,云原生 SRE 工程师,Python,编程语言,1,1
2026-03,cloud-sre-engineer,云原生 SRE 工程师,Excel,办公分析,1,1
2026-03,product-manager,产品经理,Go,编程语言,6,1
2026-03,product-manager,产品经理,Product,产品运营,6,1
2026-03,product-manager,产品经理,Marketing,产品运营,5,1
2026-03,product-manager,产品经理,Design,设计体验,4,1
2026-03,product-manager,产品经理,Excel,办公分析,4,1
2026-03,product-manager,产品经理,SQL,数据技术,2,1
2026-03,product-manager,产品经理,Python,编程语言,1,1
2026-03,product-manager,产品经理,C++,编程语言,1,1
