id,from,to,type,weight,confidence,first_seen,last_seen,evidence
cap:产品运营->part_of->cap:业务能力,cap:产品运营,cap:业务能力,part_of,6573,1.0,2024-08,2026-07,产品运营
cap:设计体验->part_of->cap:体验能力,cap:设计体验,cap:体验能力,part_of,4192,1.0,2024-08,2026-07,设计体验
cap:人工智能->part_of->cap:智能技术能力,cap:人工智能,cap:智能技术能力,part_of,1843,1.0,2024-08,2026-07,人工智能
cap:安全合规->part_of->cap:安全能力,cap:安全合规,cap:安全能力,part_of,1254,1.0,2024-08,2026-07,安全合规
cap:其他能力->part_of->cap:其他能力,cap:其他能力,cap:其他能力,part_of,968,1.0,2024-08,2026-07,其他能力
cap:质量保障->part_of->cap:工程质量能力,cap:质量保障,cap:工程质量能力,part_of,723,1.0,2025-03,2026-07,质量保障
cap:数据技术->part_of->cap:数据能力,cap:数据技术,cap:数据能力,part_of,290,1.0,2024-12,2026-07,数据技术
cap:系统架构->part_of->cap:工程研发能力,cap:系统架构,cap:工程研发能力,part_of,268,1.0,2025-09,2026-07,系统架构
cap:数据工程->part_of->cap:数据能力,cap:数据工程,cap:数据能力,part_of,244,1.0,2024-09,2026-07,数据工程
cap:办公分析->part_of->cap:通用能力,cap:办公分析,cap:通用能力,part_of,202,1.0,2024-08,2026-07,办公分析
cap:云原生->part_of->cap:基础设施能力,cap:云原生,cap:基础设施能力,part_of,187,1.0,2025-09,2026-07,云原生
cap:基础设施->part_of->cap:基础设施能力,cap:基础设施,cap:基础设施能力,part_of,161,1.0,2025-03,2026-07,基础设施
cap:工程效能->part_of->cap:工程研发能力,cap:工程效能,cap:工程研发能力,part_of,70,1.0,2025-09,2026-07,工程效能
cap:前端开发->part_of->cap:工程研发能力,cap:前端开发,cap:工程研发能力,part_of,62,1.0,2025-09,2026-07,前端开发
cap:数据存储->part_of->cap:数据能力,cap:数据存储,cap:数据能力,part_of,61,1.0,2025-03,2026-07,数据存储
cap:中间件->part_of->cap:工程基础能力,cap:中间件,cap:工程基础能力,part_of,42,1.0,2025-09,2026-07,中间件
role:backend-engineer->requires->skill:c,role:backend-engineer,skill:c,requires,44985,1.0,2025-02,2026-07,http://careers.tencent.com/jobdesc.html?postId=2074422249078833152
role:operations-specialist->requires->skill:marketing,role:operations-specialist,skill:marketing,requires,2263,1.0,2024-12,2026-07,http://careers.tencent.com/jobdesc.html?postId=2052403404545896448
role:designer->requires->skill:design,role:designer,skill:design,requires,1481,1.0,2025-06,2026-07,http://careers.tencent.com/jobdesc.html?postId=2071822753362784256
role:operations-specialist->requires->skill:c,role:operations-specialist,skill:c,requires,1307,1.0,2025-01,2026-07,http://careers.tencent.com/jobdesc.html?postId=1905178449329360896
role:designer->requires->skill:c,role:designer,skill:c,requires,1296,1.0,2026-04,2026-07,http://careers.tencent.com/jobdesc.html?postId=2046475996839968768
role:product-manager->requires->skill:product,role:product-manager,skill:product,requires,1110,1.0,2025-02,2026-07,http://careers.tencent.com/jobdesc.html?postId=1996181132168814592
role:security-engineer->requires->skill:security,role:security-engineer,skill:security,requires,993,1.0,2024-08,2026-07,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/Malaysia-Kuala-Lumpur/Tencent-Cloud---EdgeOne-Product-Solution-Architecture-Intern--Malaysia-_R107745
role:ai-algorithm-engineer->requires->skill:llm,role:ai-algorithm-engineer,skill:llm,requires,762,1.0,2025-03,2026-07,http://careers.tencent.com/jobdesc.html?postId=2008376135062278144
role:ai-algorithm-engineer->requires->skill:design,role:ai-algorithm-engineer,skill:design,requires,585,1.0,2025-02,2026-07,http://careers.tencent.com/jobdesc.html?postId=2008376135062278144
role:operations-specialist->requires->skill:product,role:operations-specialist,skill:product,requires,555,1.0,2025-01,2026-07,http://careers.tencent.com/jobdesc.html?postId=2041708778130407424
role:testing-engineer->requires->skill:c,role:testing-engineer,skill:c,requires,541,1.0,2026-01,2026-07,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4552252996
role:product-manager->requires->skill:c,role:product-manager,skill:c,requires,525,1.0,2025-09,2026-07,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/Singapore-CapitaSky/Product-Strategy-Intern_R107628
role:security-engineer->requires->skill:c,role:security-engineer,skill:c,requires,507,1.0,2025-05,2026-07,http://careers.tencent.com/jobdesc.html?postId=2048294698493313024
role:product-manager->requires->skill:design,role:product-manager,skill:design,requires,452,1.0,2025-09,2026-07,http://careers.tencent.com/jobdesc.html?postId=1996181132168814592
role:product-manager->requires->skill:marketing,role:product-manager,skill:marketing,requires,431,1.0,2025-02,2026-07,http://careers.tencent.com/jobdesc.html?postId=2053714315432865792
role:ai-algorithm-engineer->requires->skill:product,role:ai-algorithm-engineer,skill:product,requires,430,1.0,2025-02,2026-07,http://careers.tencent.com/jobdesc.html?postId=2037392058448248832
role:ai-algorithm-engineer->requires->skill:c,role:ai-algorithm-engineer,skill:c,requires,415,1.0,2025-02,2026-07,http://careers.tencent.com/jobdesc.html?postId=2074414767455518720
role:operations-specialist->requires->skill:design,role:operations-specialist,skill:design,requires,365,1.0,2025-08,2026-07,http://careers.tencent.com/jobdesc.html?postId=1905178449329360896
role:security-engineer->requires->skill:marketing,role:security-engineer,skill:marketing,requires,347,1.0,2025-03,2026-07,http://careers.tencent.com/jobdesc.html?postId=2041707816938532864
role:java-backend-engineer->requires->skill:c,role:java-backend-engineer,skill:c,requires,309,1.0,2025-03,2026-07,http://careers.tencent.com/jobdesc.html?postId=2029862287371825152
role:java-backend-engineer->requires->skill:java,role:java-backend-engineer,skill:java,requires,284,1.0,2024-09,2026-07,http://careers.tencent.com/jobdesc.html?postId=2029862287371825152
role:cloud-sre-engineer->requires->skill:c,role:cloud-sre-engineer,skill:c,requires,283,1.0,2026-02,2026-07,http://careers.tencent.com/jobdesc.html?postId=2028713326153990144
role:ai-algorithm-engineer->requires->skill:marketing,role:ai-algorithm-engineer,skill:marketing,requires,282,1.0,2025-06,2026-07,http://careers.tencent.com/jobdesc.html?postId=2061001589497442304
role:testing-engineer->requires->skill:testing,role:testing-engineer,skill:testing,requires,231,1.0,2026-04,2026-07,http://careers.tencent.com/jobdesc.html?postId=2044704007120912384
role:security-engineer->requires->skill:product,role:security-engineer,skill:product,requires,229,1.0,2024-08,2026-07,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/Malaysia-Kuala-Lumpur/Tencent-Cloud---EdgeOne-Product-Solution-Architecture-Intern--Malaysia-_R107745
role:security-engineer->requires->skill:design,role:security-engineer,skill:design,requires,225,1.0,2024-08,2026-07,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/Malaysia-Kuala-Lumpur/Tencent-Cloud---EdgeOne-Product-Solution-Architecture-Intern--Malaysia-_R107745
role:ai-algorithm-engineer->requires->skill:machine-learning,role:ai-algorithm-engineer,skill:machine-learning,requires,207,1.0,2025-07,2026-07,http://careers.tencent.com/jobdesc.html?postId=2008376135062278144
role:java-backend-engineer->requires->skill:design,role:java-backend-engineer,skill:design,requires,206,1.0,2024-09,2026-07,http://careers.tencent.com/jobdesc.html?postId=2029862287371825152
role:mobile-engineer->requires->skill:design,role:mobile-engineer,skill:design,requires,204,1.0,2025-09,2026-07,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/China-Shenzhen/_R107732-2
role:mobile-engineer->requires->skill:ios,role:mobile-engineer,skill:ios,requires,198,1.0,2025-09,2026-07,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/China-Shenzhen/_R107732-2
role:frontend-engineer->requires->skill:c,role:frontend-engineer,skill:c,requires,194,1.0,2025-11,2026-07,http://careers.tencent.com/jobdesc.html?postId=2001341503481466880
role:mobile-engineer->requires->skill:go,role:mobile-engineer,skill:go,requires,178,1.0,2025-09,2026-07,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/China-Shenzhen/_R107732-2
role:frontend-engineer->requires->skill:design,role:frontend-engineer,skill:design,requires,166,1.0,2025-11,2026-07,http://careers.tencent.com/jobdesc.html?postId=2001341503481466880
role:ai-algorithm-engineer->requires->skill:python,role:ai-algorithm-engineer,skill:python,requires,162,1.0,2025-10,2026-07,http://careers.tencent.com/jobdesc.html?postId=2074414767455518720
role:mobile-engineer->requires->skill:unity,role:mobile-engineer,skill:unity,requires,151,1.0,2025-09,2026-07,http://careers.tencent.com/jobdesc.html?postId=2003086734946095104
role:ai-algorithm-engineer->requires->skill:deep-learning,role:ai-algorithm-engineer,skill:deep-learning,requires,143,1.0,2025-07,2026-07,http://careers.tencent.com/jobdesc.html?postId=2008376135062278144
role:mobile-engineer->requires->skill:product,role:mobile-engineer,skill:product,requires,131,1.0,2025-09,2026-07,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/China-Shenzhen/_R107732-2
role:ai-algorithm-engineer->requires->skill:security,role:ai-algorithm-engineer,skill:security,requires,128,1.0,2025-03,2026-07,http://careers.tencent.com/jobdesc.html?postId=2001857480807829504
role:ai-algorithm-engineer->requires->skill:microservices,role:ai-algorithm-engineer,skill:microservices,requires,119,1.0,2025-11,2026-07,http://careers.tencent.com/jobdesc.html?postId=2074414767455518720
role:frontend-engineer->requires->skill:unity,role:frontend-engineer,skill:unity,requires,118,1.0,2025-10,2026-07,http://careers.tencent.com/jobdesc.html?postId=2071866597051641856
role:java-backend-engineer->requires->skill:product,role:java-backend-engineer,skill:product,requires,111,1.0,2025-03,2026-07,http://careers.tencent.com/jobdesc.html?postId=2029862287371825152
role:java-backend-engineer->requires->skill:go,role:java-backend-engineer,skill:go,requires,110,1.0,2024-09,2026-07,http://careers.tencent.com/jobdesc.html?postId=2029862287371825152
role:java-backend-engineer->requires->skill:python,role:java-backend-engineer,skill:python,requires,105,1.0,2025-09,2026-07,http://careers.tencent.com/jobdesc.html?postId=2029862287371825152
role:ai-algorithm-engineer->requires->skill:rag,role:ai-algorithm-engineer,skill:rag,requires,96,1.0,2025-10,2026-07,http://careers.tencent.com/jobdesc.html?postId=2061001589497442304
role:java-backend-engineer->requires->skill:llm,role:java-backend-engineer,skill:llm,requires,96,1.0,2025-06,2026-07,http://careers.tencent.com/jobdesc.html?postId=2029862287371825152
role:mobile-engineer->requires->skill:marketing,role:mobile-engineer,skill:marketing,requires,94,1.0,2025-09,2026-07,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/China-Shenzhen/_R107732-2
role:ai-algorithm-engineer->requires->skill:nlp,role:ai-algorithm-engineer,skill:nlp,requires,90,1.0,2025-07,2026-07,http://careers.tencent.com/jobdesc.html?postId=1891442262743752704
role:ai-algorithm-engineer->requires->skill:testing,role:ai-algorithm-engineer,skill:testing,requires,90,1.0,2025-08,2026-07,http://careers.tencent.com/jobdesc.html?postId=2070404306368118784
role:product-manager->requires->skill:testing,role:product-manager,skill:testing,requires,82,1.0,2025-09,2026-07,http://careers.tencent.com/jobdesc.html?postId=2053714315432865792
role:ai-algorithm-engineer->requires->skill:prompt-engineering,role:ai-algorithm-engineer,skill:prompt-engineering,requires,75,1.0,2025-12,2026-07,http://careers.tencent.com/jobdesc.html?postId=2061001589497442304
role:mobile-engineer->requires->skill:c,role:mobile-engineer,skill:c,requires,75,1.0,2025-11,2026-07,http://careers.tencent.com/jobdesc.html?postId=2003086734946095104
role:java-backend-engineer->requires->skill:microservices,role:java-backend-engineer,skill:microservices,requires,74,1.0,2025-09,2026-07,http://careers.tencent.com/jobdesc.html?postId=2029862287371825152
role:java-backend-engineer->requires->skill:security,role:java-backend-engineer,skill:security,requires,71,1.0,2025-08,2026-07,http://careers.tencent.com/jobdesc.html?postId=2034611270900154368
role:frontend-engineer->requires->skill:product,role:frontend-engineer,skill:product,requires,69,1.0,2025-10,2026-07,http://careers.tencent.com/jobdesc.html?postId=2041772169679241216
role:java-backend-engineer->requires->skill:sql,role:java-backend-engineer,skill:sql,requires,64,1.0,2025-03,2026-07,http://careers.tencent.com/jobdesc.html?postId=2034611270900154368
role:mobile-engineer->requires->skill:testing,role:mobile-engineer,skill:testing,requires,62,1.0,2025-09,2026-07,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/China-Shenzhen/_R107731-2
role:java-backend-engineer->requires->skill:linux,role:java-backend-engineer,skill:linux,requires,61,1.0,2025-03,2026-07,http://careers.tencent.com/jobdesc.html?postId=2061001586997637120
role:mobile-engineer->requires->skill:excel,role:mobile-engineer,skill:excel,requires,58,1.0,2025-09,2026-07,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/Australia-New-South-Wales-Sydney/Project-Management-Business-Development-Intern_R107728-1
role:operations-specialist->requires->skill:go,role:operations-specialist,skill:go,requires,56,1.0,2025-10,2026-07,http://careers.tencent.com/jobdesc.html?postId=1905178449329360896
role:java-backend-engineer->requires->skill:javascript,role:java-backend-engineer,skill:javascript,requires,55,1.0,2025-03,2026-07,http://careers.tencent.com/jobdesc.html?postId=2029338861385187328
role:security-engineer->requires->skill:go,role:security-engineer,skill:go,requires,52,1.0,2024-08,2026-07,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/Malaysia-Kuala-Lumpur/Tencent-Cloud---EdgeOne-Product-Solution-Architecture-Intern--Malaysia-_R107745
role:ai-algorithm-engineer->requires->skill:big-data,role:ai-algorithm-engineer,skill:big-data,requires,51,1.0,2025-12,2026-07,http://careers.tencent.com/jobdesc.html?postId=1950026512501678080
role:cloud-sre-engineer->requires->skill:design,role:cloud-sre-engineer,skill:design,requires,50,1.0,2026-01,2026-07,http://careers.tencent.com/jobdesc.html?postId=2046941665599582208
role:mobile-engineer->requires->skill:llm,role:mobile-engineer,skill:llm,requires,50,1.0,2025-09,2026-07,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/Singapore-CapitaSky/Data-Scientist-Intern_R107737-1
role:operations-specialist->requires->skill:testing,role:operations-specialist,skill:testing,requires,49,1.0,2025-11,2026-07,http://careers.tencent.com/jobdesc.html?postId=1905178449329360896
role:ai-algorithm-engineer->requires->skill:go,role:ai-algorithm-engineer,skill:go,requires,47,1.0,2025-07,2026-07,http://careers.tencent.com/jobdesc.html?postId=2043890038449799168
role:designer->requires->skill:product,role:designer,skill:product,requires,46,1.0,2025-06,2026-07,http://careers.tencent.com/jobdesc.html?postId=2041808352102739968
role:ai-algorithm-engineer->requires->skill:sql,role:ai-algorithm-engineer,skill:sql,requires,44,1.0,2025-12,2026-07,http://careers.tencent.com/jobdesc.html?postId=1983836062820225024
role:java-backend-engineer->requires->skill:marketing,role:java-backend-engineer,skill:marketing,requires,44,1.0,2025-06,2026-07,http://careers.tencent.com/jobdesc.html?postId=2014529794737328128
role:security-engineer->requires->skill:unity,role:security-engineer,skill:unity,requires,44,1.0,2024-08,2026-07,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/Malaysia-Kuala-Lumpur/Tencent-Cloud---EdgeOne-Product-Solution-Architecture-Intern--Malaysia-_R107745
role:backend-engineer->requires->skill:product,role:backend-engineer,skill:product,requires,43,1.0,2026-07,2026-07,https://www.jobonline.cn/position?positionId=2074406411068391428
role:java-backend-engineer->requires->skill:big-data,role:java-backend-engineer,skill:big-data,requires,43,1.0,2024-09,2026-07,http://careers.tencent.com/jobdesc.html?postId=2074396169051746304
role:product-manager->requires->skill:sql,role:product-manager,skill:sql,requires,42,1.0,2025-02,2026-07,http://careers.tencent.com/jobdesc.html?postId=2041436703062917120
role:cloud-sre-engineer->requires->skill:kubernetes,role:cloud-sre-engineer,skill:kubernetes,requires,40,1.0,2026-02,2026-07,http://careers.tencent.com/jobdesc.html?postId=1963884175547322368
role:java-backend-engineer->requires->skill:rag,role:java-backend-engineer,skill:rag,requires,40,1.0,2025-03,2026-07,http://careers.tencent.com/jobdesc.html?postId=2029862287371825152
role:security-engineer->requires->skill:testing,role:security-engineer,skill:testing,requires,40,1.0,2026-04,2026-07,http://careers.tencent.com/jobdesc.html?postId=2041707816938532864
role:frontend-engineer->requires->skill:marketing,role:frontend-engineer,skill:marketing,requires,39,1.0,2025-11,2026-07,http://careers.tencent.com/jobdesc.html?postId=2061637334750900224
role:mobile-engineer->requires->skill:machine-learning,role:mobile-engineer,skill:machine-learning,requires,39,1.0,2025-09,2026-07,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/Singapore-CapitaSky/Data-Scientist-Intern_R107737-1
role:java-backend-engineer->requires->skill:testing,role:java-backend-engineer,skill:testing,requires,38,1.0,2025-03,2026-07,http://careers.tencent.com/jobdesc.html?postId=2074396169051746304
role:mobile-engineer->requires->skill:python,role:mobile-engineer,skill:python,requires,38,1.0,2025-09,2026-07,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/US-California-Palo-Alto/Data-Science-Intern_R107184
role:frontend-engineer->requires->skill:ios,role:frontend-engineer,skill:ios,requires,33,1.0,2025-12,2026-07,http://careers.tencent.com/jobdesc.html?postId=2029452957203984384
role:frontend-engineer->requires->skill:go,role:frontend-engineer,skill:go,requires,32,1.0,2025-10,2026-07,http://careers.tencent.com/jobdesc.html?postId=2046845256972005376
role:java-backend-engineer->requires->skill:redis,role:java-backend-engineer,skill:redis,requires,32,1.0,2025-03,2026-07,http://careers.tencent.com/jobdesc.html?postId=2034611270900154368
role:role-项目经理->requires->skill:c,role:role-项目经理,skill:c,requires,32,1.0,2026-07,2026-07,https://www.jobonline.cn/position?positionId=2074408628878065666
role:ai-algorithm-engineer->requires->skill:linux,role:ai-algorithm-engineer,skill:linux,requires,31,1.0,2026-03,2026-07,http://careers.tencent.com/jobdesc.html?postId=1936112113181392896
role:cloud-sre-engineer->requires->skill:product,role:cloud-sre-engineer,skill:product,requires,31,1.0,2026-01,2026-07,http://careers.tencent.com/jobdesc.html?postId=1963884175547322368
role:mobile-engineer->requires->skill:deep-learning,role:mobile-engineer,skill:deep-learning,requires,30,1.0,2025-09,2026-07,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/Singapore-CapitaSky/Data-Scientist-Intern_R107737-1
role:security-engineer->requires->skill:excel,role:security-engineer,skill:excel,requires,30,1.0,2024-08,2026-07,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/Singapore-CapitaSky/Tencent-Cloud---Senior-Channel-Sales-Executive--Singapore-_R107568
role:testing-engineer->requires->skill:product,role:testing-engineer,skill:product,requires,30,1.0,2026-05,2026-07,http://careers.tencent.com/jobdesc.html?postId=2044704007120912384
role:frontend-engineer->requires->skill:android,role:frontend-engineer,skill:android,requires,29,1.0,2026-04,2026-07,http://careers.tencent.com/jobdesc.html?postId=2029452957203984384
role:java-backend-engineer->requires->skill:unity,role:java-backend-engineer,skill:unity,requires,29,1.0,2025-09,2026-07,http://careers.tencent.com/jobdesc.html?postId=2069251728867504128
role:operations-specialist->requires->skill:sql,role:operations-specialist,skill:sql,requires,29,1.0,2025-12,2026-07,http://careers.tencent.com/jobdesc.html?postId=2028415054453567488
role:frontend-engineer->requires->skill:testing,role:frontend-engineer,skill:testing,requires,28,1.0,2025-11,2026-07,http://careers.tencent.com/jobdesc.html?postId=2061637334750900224
role:cloud-sre-engineer->requires->skill:sql,role:cloud-sre-engineer,skill:sql,requires,27,1.0,2026-04,2026-07,http://careers.tencent.com/jobdesc.html?postId=2046941665599582208
role:java-backend-engineer->requires->skill:kafka,role:java-backend-engineer,skill:kafka,requires,27,1.0,2025-09,2026-07,http://careers.tencent.com/jobdesc.html?postId=2034611270900154368
role:java-backend-engineer->requires->skill:machine-learning,role:java-backend-engineer,skill:machine-learning,requires,27,1.0,2024-09,2026-07,http://careers.tencent.com/jobdesc.html?postId=2029862287371825152
role:product-manager->requires->skill:unity,role:product-manager,skill:unity,requires,27,1.0,2025-09,2026-07,http://careers.tencent.com/jobdesc.html?postId=1993913280330096640
role:java-backend-engineer->requires->skill:docker,role:java-backend-engineer,skill:docker,requires,26,1.0,2025-09,2026-07,http://careers.tencent.com/jobdesc.html?postId=2034611270900154368
role:mobile-engineer->requires->skill:security,role:mobile-engineer,skill:security,requires,26,1.0,2025-10,2026-07,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/China-Shenzhen/_R107732-2
role:product-manager->requires->skill:go,role:product-manager,skill:go,requires,26,1.0,2025-09,2026-07,http://careers.tencent.com/jobdesc.html?postId=2011613372172361728
role:ai-algorithm-engineer->requires->skill:docker,role:ai-algorithm-engineer,skill:docker,requires,25,1.0,2026-03,2026-07,http://careers.tencent.com/jobdesc.html?postId=1958073221844717568
role:ai-algorithm-engineer->requires->skill:unity,role:ai-algorithm-engineer,skill:unity,requires,25,1.0,2026-02,2026-07,http://careers.tencent.com/jobdesc.html?postId=2028325900583600128
role:operations-specialist->requires->skill:python,role:operations-specialist,skill:python,requires,25,1.0,2026-04,2026-07,http://careers.tencent.com/jobdesc.html?postId=2029496883826819072
role:java-backend-engineer->requires->skill:kubernetes,role:java-backend-engineer,skill:kubernetes,requires,24,1.0,2025-09,2026-07,http://careers.tencent.com/jobdesc.html?postId=2034611270900154368
role:mobile-engineer->requires->skill:rag,role:mobile-engineer,skill:rag,requires,24,1.0,2025-10,2026-07,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/Singapore-CapitaSky/International-Regulatory-Senior-Counsel_R107736-1
role:operations-specialist->requires->skill:excel,role:operations-specialist,skill:excel,requires,24,1.0,2026-02,2026-07,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/China-Shenzhen/Senior-Marketing-Manager-I_R107701-1
role:security-engineer->requires->skill:big-data,role:security-engineer,skill:big-data,requires,24,1.0,2026-01,2026-07,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/Thailand-Bangkok/Tencent-Cloud---Solution-Architecture-Intern--Thailand-_R107668
role:cloud-sre-engineer->requires->skill:marketing,role:cloud-sre-engineer,skill:marketing,requires,23,1.0,2026-04,2026-07,http://careers.tencent.com/jobdesc.html?postId=2074084807696101376
role:cloud-sre-engineer->requires->skill:security,role:cloud-sre-engineer,skill:security,requires,23,1.0,2026-04,2026-07,http://careers.tencent.com/jobdesc.html?postId=2003706554913808384
role:designer->requires->skill:unity,role:designer,skill:unity,requires,23,1.0,2025-09,2026-07,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/--Lighting-Artist_R105001-5
role:java-backend-engineer->requires->skill:devops,role:java-backend-engineer,skill:devops,requires,23,1.0,2025-09,2026-07,http://careers.tencent.com/jobdesc.html?postId=2014529794737328128
role:java-backend-engineer->requires->skill:ios,role:java-backend-engineer,skill:ios,requires,23,1.0,2025-09,2026-07,http://careers.tencent.com/jobdesc.html?postId=2069251728867504128
role:operations-specialist->requires->skill:unity,role:operations-specialist,skill:unity,requires,23,1.0,2025-08,2026-07,http://careers.tencent.com/jobdesc.html?postId=1922120447667838976
role:security-engineer->requires->skill:sql,role:security-engineer,skill:sql,requires,23,1.0,2026-04,2026-07,http://careers.tencent.com/jobdesc.html?postId=2048294698493313024
role:cloud-sre-engineer->requires->skill:devops,role:cloud-sre-engineer,skill:devops,requires,22,1.0,2026-01,2026-07,http://careers.tencent.com/jobdesc.html?postId=2074084807696101376
role:data-engineer->requires->skill:c,role:data-engineer,skill:c,requires,22,1.0,2025-10,2026-07,https://zhaopin.meituan.com/web/position/detail?jobUnionId=3054923165
role:frontend-engineer->requires->skill:python,role:frontend-engineer,skill:python,requires,22,1.0,2026-04,2026-07,http://careers.tencent.com/jobdesc.html?postId=2041772169679241216
role:java-backend-engineer->requires->skill:react,role:java-backend-engineer,skill:react,requires,22,1.0,2025-11,2026-07,http://careers.tencent.com/jobdesc.html?postId=2069251728867504128
